empId,passengerId,testDate,testTime,testResult
68-6933930,361-58-1523,2021-02-09,5:34:48,negative
87-1852124,659-20-9780,2021-02-08,13:16:22,positive
18-8262854,123-32-3789,2021-02-08,17:01:00,negative
53-3059518,593-69-7039,2021-02-16,11:38:27,negative
19-9691853,415-70-0083,2021-02-08,22:16:36,negative
97-7208483,802-53-7486,2021-02-20,3:04:33,positive
56-8232139,597-59-3795,2021-02-12,14:45:13,negative
49-0244988,683-24-6985,2021-02-20,18:55:13,negative
11-3135865,709-84-0964,2021-02-14,15:08:56,negative
24-3107340,448-22-2068,2021-02-08,5:14:27,negative
80-0131548,382-07-1152,2021-02-19,8:25:50,negative
16-2673279,599-82-6105,2021-02-14,6:20:38,negative
17-1622593,297-68-1026,2021-02-09,10:29:00,positive
65-6235238,657-29-0406,2021-02-16,7:03:39,negative
43-1962397,783-71-7910,2021-02-16,2:12:12,positive
35-0411090,338-95-3889,2021-02-13,7:16:50,positive
36-9192762,729-72-2297,2021-02-14,0:34:48,positive
72-4954543,819-29-1251,2021-02-18,1:39:19,positive
43-8720653,335-44-4764,2021-02-20,23:24:15,positive
07-4678854,680-24-8095,2021-02-14,22:01:38,positive
25-2925613,526-57-4269,2021-02-10,12:15:21,positive
93-0412593,131-88-0919,2021-02-07,11:48:04,positive
29-1737566,163-93-1046,2021-02-17,13:34:15,positive
72-1749810,148-09-5382,2021-02-17,20:47:56,negative
10-5741533,660-64-1585,2021-02-13,20:12:03,negative
77-6844874,461-53-2979,2021-02-11,0:58:28,positive
79-0472296,538-94-3832,2021-02-07,4:01:24,negative
66-2458408,665-84-8481,2021-02-13,7:30:52,positive
05-9812153,504-05-9446,2021-02-08,18:00:17,negative
35-8090713,500-11-6585,2021-02-11,18:02:43,negative
85-6546698,143-44-9497,2021-02-15,12:27:14,positive
05-5789902,770-02-8107,2021-02-16,19:59:46,positive
82-2837215,432-50-4369,2021-02-20,1:33:57,negative
49-1818511,745-40-6052,2021-02-09,1:15:01,positive
94-0191121,653-31-5976,2021-02-17,5:22:04,positive
20-1257232,105-26-0727,2021-02-15,9:24:20,positive
46-5157441,433-88-0101,2021-02-14,11:22:10,positive
